,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2024-11-15 13:30:00-01:00,569.4294904085906,570.775295360466,549.7713316531629,552.34326171875,17712900,0.0,0.0
1,2024-11-18 13:30:00-01:00,555.2939713255412,558.1450530771248,548.3658043375702,552.6622924804688,14327300,0.0,0.0
2,2024-11-19 13:30:00-01:00,550.1301887468238,559.670199030822,548.8741284623578,559.331298828125,9522400,0.0,0.0
3,2024-11-20 13:30:00-01:00,561.1655279262712,564.574791138832,552.4629109716374,563.7474365234375,9797300,0.0,0.0
4,2024-11-21 13:30:00-01:00,567.7348499684634,568.2133259307972,547.3289818703621,561.3250122070312,11154700,0.0,0.0
5,2024-11-22 13:30:00-01:00,561.7835402193574,562.0626917643333,552.8516642815921,557.3873901367188,9164000,0.0,0.0
6,2024-11-25 13:30:00-01:00,560.3380482903169,570.7952180290404,554.6459854785412,563.338623046875,13599800,0.0,0.0
7,2024-11-26 13:30:00-01:00,564.2258439211572,575.6897965803327,563.4283637310257,571.7421875,10356600,0.0,0.0
8,2024-11-27 13:30:00-01:00,573.087937780577,573.1776215898622,562.3317216742989,567.415771484375,7200200,0.0,0.0
9,2024-11-29 13:30:00-01:00,567.2165043387864,576.6468744517884,565.1231109977455,572.5198364257812,7130500,0.0,0.0
10,2024-12-02 13:30:00-01:00,575.6898363387268,592.6365501357109,573.7658931912714,590.9718017578125,12522400,0.0,0.0
11,2024-12-03 13:30:00-01:00,593.1349958553983,612.2748263778202,589.3967500832003,611.7265625,14907200,0.0,0.0
12,2024-12-04 13:30:00-01:00,611.0386421660438,615.8435407320915,603.203233820739,611.8560791015625,14697000,0.0,0.0
13,2024-12-05 13:30:00-01:00,615.145779427461,617.9569474371278,605.1471892630866,607.0213012695312,8081200,0.0,0.0
14,2024-12-06 13:30:00-01:00,608.1876239914793,627.8159083390149,606.6225986816157,621.8148193359375,16935500,0.0,0.0
